category_name,name,rating,votes,address
Banquet_Halls,Shree Lakshmi Function Hall,4.1,9,"26, New Thiruvalam Road Vit Road, KATPADI VELLORE, Vellore - 632002, Near Chittoor Bus Stand"
Banquet_Halls,Lts Mahal Ac,5.0,9,"-203/1B2 6B , Ramalingam Nagar, Arni Road, Edayansathu, Vellore - 632002, Near HP Petrol Bunk"
Banquet_Halls,Pm Mahal Ac,4.5,4,"5/4, Vellore to Arni Road-Adukkamparai, Adukkamparai, Vellore - 632011, Opposite to EB Office"
Banquet_Halls,Dhanamsathyan Mahal Ac,4.8,4,"1/118, Dharmapuri Main Road, Kakankar Railway Station, Vellore - 635654, Kakangarai"
Banquet_Halls,Ghayathri Mini Hall Ac,5.0,4,"18, Arni Road, Bagayam, Vellore - 632002"
Banquet_Halls,Hotel Mount Paradise,3.7,4,"37, Vellore Bye Pass Road, Sathuvacheri, Vellore - 632009, Next to Collector Office"
Banquet_Halls,Baby Residency,4.0,2,"7, Officers Line Anna Salai, Krishna Nagar, Vellore - 632001, Opp Dig Bangla"
Banquet_Halls,Sri Narayani Mahal,4.5,2,"rumalaikodi, Ariyur, Vellore - 632055, Near Golden Temple"
Banquet_Halls,Durga Mahal Ac,4.1,6,"padi to Gudiyattam Road, Katpadi Road, KATPADI VELLORE, Vellore - 632002, Kizhvadugankuttai"
Banquet_Halls,Srinivas Thirumana Mandapam,3.5,6,"6 Vaisha Complex, Arni Road, Bagayam, Vellore - 632002, Near Govt Arts College"
Banquet_Halls,Benzz Park,3.9,5073,"4, Dharmaraja Koil Street, Old Katpadi Road, Vellore Ho, Vellore - 632001, Next to Pachayappas Silk & Old National Theatre"
Banquet_Halls,LTS Mahal AC,4.9,5073,"203/1B2 6B, Ramalingam Nagar, Edayansathu, Vellore - 632002, Near HP Petrol Bunk"
Banquet_Halls,Bagiyam & Nadham Function H..,4.5,5,"ST FLOOR LRK EMPIRE BUILDING, # 58 ANNA SALAI, KRISHNA NAGAR, Vellore - 632001, NEXT To LAKSHMI THEATER"
Banquet_Halls,Palar Residency,3.5,5,"2/16 Vellore City Centre, Anna Salai, Officers Line, Vellore Ho, Vellore - 632001, Opposite Voorhees School"
Banquet_Halls,Sri Gajalakshmi Arangam,4.1,5,", Arni Road, Sainathapuram, Vellore - 632001, Near Pillaiyar Kovil Opposite"
Banquet_Halls,Baby Mahal Ac,4.4,5," No 10 New No 131, Masilamani Mudaliar Hostel Road, Vellore HO, Vellore - 632001, Near Dhandapani Muthaliyar Mandapam"
Banquet_Halls,A S Gurusamy Mahal Ac,4.5,460,"nnai to Siththur Main Road, Pennai Kutroad, Tiruvalam, Vellore - 632515"
